player_id,player_name,team_abbr,minutes,impact,availability,evidence
1631223,David Roddy,DEN,14.603333333333333,3.1,100.0,Latest historical season; on-court net rating
1642354,KJ Simpson,DEN,12.880500000000001,0.0,100.0,Latest historical season; on-court net rating
1631124,Julian Strawther,DEN,15.099532163742689,1.5,100.0,Latest historical season; on-court net rating
1628381,John Collins,DET,27.122874396135263,-1.2,100.0,Latest historical season; on-court net rating
1630595,Cade Cunningham,DET,33.932369791666666,11.4,100.0,Latest historical season; on-court net rating
1631105,Jalen Duren,DET,28.226476190476188,11.8,100.0,Latest historical season; on-court net rating
1629750,Javonte Green,DET,17.633678861788617,7.6,100.0,Latest historical season; on-court net rating
1641989,Elijah Harkless,DET,20.954358974358975,-2.5,100.0,Latest historical season; on-court net rating
203914,Gary Harris,DET,13.766006944444444,-9.6,100.0,Latest historical season; on-court net rating
1641842,Ronald Holland II,DET,19.877542735042734,5.7,100.0,Latest historical season; on-court net rating
1628989,Kevin Huerter,DET,22.45038647342995,2.3,100.0,Latest historical season; on-court net rating
1642450,Daniss Jenkins,DET,20.2125,6.6,100.0,Latest historical season; on-court net rating
1630198,Isaiah Joe,DET,21.231619718309858,11.7,100.0,Latest historical season; on-court net rating
1642403,Isaac Jones,DET,5.097619047619047,-20.0,100.0,Latest historical season; on-court net rating
1642404,Chaz Lanier,DET,7.706029411764706,2.0,100.0,Latest historical season; on-court net rating
1631111,Wendell Moore Jr.,DET,9.925833333333333,20.0,100.0,Latest historical season; on-court net rating
1643536,Ebuka Okorie,DET,12.0,0.0,100.0,Neutral assumption — no matched history
1642391,Ugonna Onyenso,DET,12.0,0.0,100.0,Neutral assumption — no matched history
1627752,Taurean Prince,DET,23.511666666666663,-3.8,100.0,Latest historical season; on-court net rating
1630194,Paul Reed,DET,13.855820512820513,8.1,100.0,Latest historical season; on-court net rating
1629130,Duncan Robinson,DET,27.443614718614718,11.3,100.0,Latest historical season; on-court net rating
1642449,Tolu Smith,DET,9.162777777777778,2.3,100.0,Latest historical season; on-court net rating
1641709,Ausar Thompson,DET,25.967260273972602,11.6,100.0,Latest historical season; on-court net rating
1629646,Charles Bassey,GSW,11.746410256410257,-13.0,100.0,Latest historical season; on-court net rating
202710,Jimmy Butler III,GSW,31.096754385964914,7.3,100.0,Latest historical season; on-court net rating
1643018,LJ Cryer,GSW,16.23037037037037,-0.4,100.0,Latest historical season; on-court net rating
203552,Seth Curry,GSW,13.3,-3.0,100.0,Latest historical season; on-court net rating
201939,Stephen Curry,GSW,30.90065891472868,2.8,100.0,Latest historical season; on-court net rating
203110,Draymond Green,GSW,27.483651960784314,-4.3,100.0,Latest historical season; on-court net rating
201143,Al Horford,GSW,21.537444444444443,-0.9,100.0,Latest historical season; on-court net rating
1643650,Lajae Jones,GSW,12.0,0.0,100.0,Neutral assumption — no matched history
1642865,Yaxel Lendeborg,GSW,12.0,0.0,100.0,Neutral assumption — no matched history
1642502,Malevy Leons,GSW,11.058866666666667,-10.6,100.0,Latest historical season; on-court net rating
1629001,De'Anthony Melton,GSW,22.96442176870748,3.9,100.0,Latest historical season; on-court net rating
1630541,Moses Moody,GSW,25.66497222222222,2.2,100.0,Latest historical season; on-court net rating
1627777,Georges Niang,GSW,12.0,0.0,100.0,Neutral assumption — no matched history
1627780,Gary Payton II,GSW,15.647671232876712,-2.3,100.0,Latest historical season; on-court net rating
1641764,Brandin Podziemski,GSW,28.447235772357722,-0.1,100.0,Latest historical season; on-court net rating
204001,Kristaps Porziņģis,GSW,24.027864583333333,3.0,100.0,Latest historical season; on-court net rating
1642954,Will Richard,GSW,19.953695652173913,-3.3,100.0,Latest historical season; on-court net rating
1630611,Gui Santos,GSW,20.520049019607843,1.0,100.0,Latest historical season; on-court net rating
1631207,Dalen Terry,GSW,11.479722222222222,-2.9,100.0,Latest historical season; on-court net rating
1630314,Brandon Williams,GSW,22.161287878787878,-4.4,100.0,Latest historical season; on-court net rating
1631466,Nate Williams,GSW,17.083571428571428,-15.1,100.0,Latest historical season; on-court net rating
203500,Steven Adams,HOU,22.82390625,11.8,100.0,Latest historical season; on-court net rating
203992,Bogdan Bogdanović,HOU,19.65478260869565,-4.4,100.0,Latest historical season; on-court net rating
203991,Clint Capela,HOU,12.342155555555555,8.0,100.0,Latest historical season; on-court net rating
1643572,Rafael Castro,HOU,12.0,0.0,100.0,Neutral assumption — no matched history
1643595,Quadir Copeland,HOU,12.0,0.0,100.0,Neutral assumption — no matched history
1642384,Isaiah Crawford,HOU,6.578571428571428,-5.9,100.0,Latest historical season; on-court net rating
201142,Kevin Durant,HOU,36.40799145299145,5.5,100.0,Latest historical season; on-court net rating
1631106,Tari Eason,HOU,25.818416666666668,6.5,100.0,Latest historical season; on-court net rating
201145,Jeff Green,HOU,5.827222222222222,-8.1,100.0,Latest historical season; on-court net rating
1628988,Aaron Holiday,HOU,13.697046783625732,8.3,100.0,Latest historical season; on-court net rating
1642951,Sean Pedulla,HOU,4.428571428571429,-20.0,100.0,Latest historical season; on-court net rating
1641763,Julian Phillips,HOU,8.896180555555555,-2.9,100.0,Latest historical season; on-court net rating
1630578,Alperen Sengun,HOU,33.301319444444445,3.4,100.0,Latest historical season; on-court net rating
1642263,Reed Sheppard,HOU,26.181991869918697,4.3,100.0,Latest historical season; on-court net rating
203935,Marcus Smart,HOU,28.531908602150537,6.8,100.0,Latest historical season; on-court net rating
1631095,Jabari Smith Jr.,HOU,35.13461038961039,5.0,100.0,Latest historical season; on-court net rating
1630256,Jae'Sean Tate,HOU,8.798333333333334,-3.3,100.0,Latest historical season; on-court net rating
1641708,Amen Thompson,HOU,37.381645569620254,6.6,100.0,Latest historical season; on-court net rating
1643570,Bruce Thornton,HOU,12.0,0.0,100.0,Neutral assumption — no matched history
1631131,Oscar Tshiebwe,HOU,16.60814814814815,-8.0,100.0,Latest historical season; on-court net rating
1627832,Fred VanVleet,HOU,12.0,0.0,100.0,Neutral assumption — no matched history
1641738,Kobe Brown,IND,15.776666666666667,-10.5,100.0,Latest historical season; on-court net rating
1642277,Johnny Furphy,IND,18.37295238095238,-4.6,100.0,Latest historical season; on-court net rating
1630169,Tyrese Haliburton,IND,12.0,0.0,100.0,Neutral assumption — no matched history
1630643,Jay Huff,IND,20.966382113821137,-6.3,100.0,Latest historical season; on-court net rating
1631245,Quenton Jackson,IND,18.314795918367345,-3.8,100.0,Latest historical season; on-court net rating
204456,T.J. McConnell,IND,17.187589285714285,-7.6,100.0,Latest historical season; on-court net rating
1626204,Larry Nance Jr.,IND,12.822,-2.9,100.0,Latest historical season; on-court net rating
1629614,Andrew Nembhard,IND,31.326198830409353,-10.0,100.0,Latest historical season; on-court net rating
1630174,Aaron Nesmith,IND,29.665555555555557,-7.3,100.0,Latest historical season; on-court net rating
1626162,Kelly Oubre Jr.,IND,31.486233333333335,-1.9,100.0,Latest historical season; on-court net rating
1641767,Ben Sheppard,IND,21.39194871794872,-8.8,100.0,Latest historical season; on-court net rating
1627783,Pascal Siakam,IND,33.17180107526882,-5.6,100.0,Latest historical season; on-court net rating
1641771,Jalen Slawson,IND,23.888461538461538,-4.3,100.0,Latest historical season; on-court net rating
1643552,Braden Smith,IND,12.0,0.0,100.0,Neutral assumption — no matched history
1630167,Obi Toppin,IND,17.655208333333334,-3.6,100.0,Latest historical season; on-court net rating
1641716,Jarace Walker,IND,25.702412280701754,-11.1,100.0,Latest historical season; on-court net rating
1627826,Ivica Zubac,IND,30.13954861111111,-2.4,100.0,Latest historical season; on-court net rating
201587,Nicolas Batum,LAC,17.494527027027026,-0.5,100.0,Latest historical season; on-court net rating
203078,Bradley Beal,LAC,20.15277777777778,-9.3,100.0,Latest historical season; on-court net rating
1641780,Johni Broome,LAC,4.978333333333333,-13.6,100.0,Latest historical season; on-court net rating
1642353,Cam Christie,LAC,8.722727272727273,-0.6,100.0,Latest historical season; on-court net rating
1627739,Kris Dunn,LAC,27.195121951219512,0.5,100.0,Latest historical season; on-court net rating
1629636,Darius Garland,LAC,29.872814814814813,2.6,100.0,Latest historical season; on-court net rating
