transaction_type,transaction_date,description,team_abbr,player_id,player_slug,group_sort
Signing,2026-07-06,New York Knicks re-signed guard Jose Alvarado to a Contract.,NYK,1630631.0,jose-alvarado,Signing 1152882
Signing,2026-07-06,New York Knicks re-signed forward Mohamed Diawara to a Contract.,NYK,1642885.0,mohamed-diawara,Signing 1152883
Signing,2026-07-06,New York Knicks signed center Andre Drummond to a Contract.,NYK,203083.0,andre-drummond,Signing 1152884
Signing,2026-07-06,San Antonio Spurs signed forward Tobias Harris to a Contract.,SAS,202699.0,tobias-harris,Signing 1152886
Signing,2026-07-06,Miami Heat signed guard Tim Hardaway Jr. to a Contract.,MIA,203501.0,tim-hardaway-jr,Signing 1152890
Signing,2026-07-06,Philadelphia 76ers signed center Ariel Hukporti to a Contract.,PHI,1630574.0,ariel-hukporti,Signing 1152891
Signing,2026-07-06,Boston Celtics signed center Mitchell Robinson to a Contract.,BOS,1629011.0,mitchell-robinson,Signing 1152892
Signing,2026-07-06,New York Knicks re-signed guard Landry Shamet to a Contract.,NYK,1629013.0,landry-shamet,Signing 1152893
Signing,2026-07-06,Boston Celtics signed guard Mike Conley to a Contract.,BOS,201144.0,mike-conley,Signing 1152894
Signing,2026-07-06,LA Clippers signed forward Rui Hachimura to a Contract.,LAC,1629060.0,rui-hachimura,Signing 1152895
Signing,2026-07-06,Washington Wizards re-signed guard Trae Young to a Contract.,WAS,1629027.0,trae-young,Signing 1152896
Signing,2026-07-06,Oklahoma City Thunder re-signed center Isaiah Hartenstein to a Contract.,OKC,1628392.0,isaiah-hartenstein,Signing 1152897
Signing,2026-07-06,Oklahoma City Thunder re-signed guard Kenrich Williams to a Contract.,OKC,1629026.0,kenrich-williams,Signing 1152898
Trade,2026-07-06,Atlanta Hawks received guard Aaron Wiggins from Oklahoma City Thunder.,ATL,1630598.0,aaron-wiggins,Trade 2026000
Trade,2026-07-06,Oklahoma City Thunder received draft consideration from Atlanta Hawks.,OKC,0.0,,Trade 2026000
Trade,2026-07-06,Miami Heat received forward Bobby Portis Jr. from Milwaukee Bucks.,MIA,1626171.0,bobby-portis-jr,Trade 2026001
Trade,2026-07-06,Miami Heat received forward Giannis Antetokounmpo from Milwaukee Bucks.,MIA,203507.0,giannis-antetokounmpo,Trade 2026001
Trade,2026-07-06,Milwaukee Bucks received guard Kasparas Jakucionis from Miami Heat.,MIL,1642857.0,kasparas-jakucionis,Trade 2026001
Trade,2026-07-06,Milwaukee Bucks received center Kel'el Ware from Miami Heat.,MIL,1642276.0,kelel-ware,Trade 2026001
Trade,2026-07-06,Milwaukee Bucks received guard Jaime Jaquez Jr. from Miami Heat.,MIL,1631170.0,jaime-jaquez-jr,Trade 2026001
Trade,2026-07-06,Milwaukee Bucks received guard Tyler Herro from Miami Heat.,MIL,1629639.0,tyler-herro,Trade 2026001
Trade,2026-07-06,Milwaukee Bucks received draft consideration from Miami Heat.,MIL,0.0,,Trade 2026001
Trade,2026-07-06,Boston Celtics received forward Paul George from Philadelphia 76ers.,BOS,202331.0,paul-george,Trade 2026002
Trade,2026-07-06,Boston Celtics received draft consideration from Philadelphia 76ers.,BOS,0.0,,Trade 2026002
Trade,2026-07-06,Philadelphia 76ers received guard Jaylen Brown from Boston Celtics.,PHI,1627759.0,jaylen-brown,Trade 2026002
Trade,2026-07-06,Oklahoma City Thunder received draft consideration from Detroit Pistons.,OKC,0.0,,Trade 2026003
Trade,2026-07-06,Detroit Pistons received guard Isaiah Joe from Oklahoma City Thunder.,DET,1630198.0,isaiah-joe,Trade 2026003
Trade,2026-07-06,Charlotte Hornets received forward Dorian Finney-Smith from Houston Rockets.,CHO,1627827.0,dorian-finney-smith,Trade 2026004
Trade,2026-07-06,Charlotte Hornets received draft consideration from Houston Rockets.,CHO,0.0,,Trade 2026004
Waive,2026-07-06,Sacramento Kings waived guard DeMar DeRozan.,SAC,201942.0,demar-derozan,Waive 1152876
Waive,2026-07-06,Charlotte Hornets waived forward Tosan Evbuomwan.,CHO,1641787.0,tosan-evbuomwan,Waive 1152877
Signing,2026-07-05,Boston Celtics signed forward Christopher Cenac Jr. to a Rookie Scale Contract.,BOS,1643416.0,christopher-cenac-jr,Signing 1152826
Signing,2026-07-05,Philadelphia 76ers signed guard Caleb Love to a Two-Way Contract.,PHI,1631126.0,caleb-love,Signing 1152827
Signing,2026-07-05,LA Clippers signed forward Nick Martinelli to a Two-Way Contract.,LAC,1643568.0,nick-martinelli,Signing 1152832
Signing,2026-07-05,Milwaukee Bucks signed guard Brayden Burries to a Rookie Scale Contract.,MIL,1643415.0,brayden-burries,Signing 1152833
Signing,2026-07-05,Milwaukee Bucks signed guard Kam Jones to a Two-Way Contract.,MIL,1642880.0,kam-jones,Signing 1152834
Signing,2026-07-04,Toronto Raptors signed guard Jaden Bradley to a Two-Way Contract.,TOR,1643558.0,jaden-bradley,Signing 1152818
Signing,2026-07-03,Toronto Raptors re-signed guard Alijah Martin to a Contract.,TOR,1642918.0,alijah-martin,Signing 1152744
Signing,2026-07-03,Miami Heat signed guard Tre Donaldson to a Two-Way Contract.,MIA,1643621.0,tre-donaldson,Signing 1152747
Signing,2026-07-03,San Antonio Spurs signed forward Maliq Brown to a Two-Way Contract.,SAS,1643576.0,maliq-brown,Signing 1152749
