transaction_type,transaction_date,description,team_abbr,player_id,player_slug,group_sort,dedupe_key,source,source_url
Signing,2026-02-26,Milwaukee Bucks signed guard Cormac Ryan to a Two-Way Contract.,MIL,1642504.0,cormac-ryan,Signing 1146096,2026-02-26|MIL|1642504.0|Signing|Milwaukee Bucks signed guard Cormac Ryan to a Two-Way Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-02-26,Signed Mo Bamba (NBA.com roster signing date),UTA,1628964.0,mo-bamba,NBA roster signing 1628964,2026-02-26|UTA|1628964.0|Signing|Signed Mo Bamba (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612762
Signing,2026-02-26,Signed Mo Bamba (NBA.com roster signing date),UTA,1628964,mo-bamba,NBA roster signing 1628964,2026-02-26|UTA|1628964|Signing|Signed Mo Bamba (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612762
Signing,2026-02-26,Washington Wizards re-signed forward Jamir Watkins to a Rest-of-Season Contract.,WAS,1642364.0,jamir-watkins,Signing 1146092,2026-02-26|WAS|1642364.0|Signing|Washington Wizards re-signed forward Jamir Watkins to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-02-27,Brooklyn Nets signed forward Grant Nelson to a 10-Day Contract.,BRK,1641761.0,grant-nelson,Signing 1146114,2026-02-27|BRK|1641761.0|Signing|Brooklyn Nets signed forward Grant Nelson to a 10-Day Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-02-27,Phoenix Suns waived guard Cole Anthony.,PHO,1630175.0,cole-anthony,Waive 1146131,2026-02-27|PHO|1630175.0|Waive|Phoenix Suns waived guard Cole Anthony.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-02-27,San Antonio Spurs signed forward Mason Plumlee to a Rest-of-Season Contract.,SAS,203486.0,mason-plumlee,Signing 1146125,2026-02-27|SAS|203486.0|Signing|San Antonio Spurs signed forward Mason Plumlee to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-02-28,Dallas Mavericks waived guard Tyus Jones.,DAL,1626145.0,tyus-jones,Waive 1146171,2026-02-28|DAL|1626145.0|Waive|Dallas Mavericks waived guard Tyus Jones.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-02-28,Dallas Mavericks waived guard Miles Kelly.,DAL,1642939.0,miles-kelly,Waive 1146203,2026-02-28|DAL|1642939.0|Waive|Dallas Mavericks waived guard Miles Kelly.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-02-28,Dallas Mavericks re-signed guard Ryan Nembhard to a Rest-of-Season Contract.,DAL,1642948.0,ryan-nembhard,Signing 1146193,2026-02-28|DAL|1642948.0|Signing|Dallas Mavericks re-signed guard Ryan Nembhard to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-02-28,Dallas Mavericks signed forward Tyler Smith to a Two-Way Contract.,DAL,1641890.0,tyler-smith,Signing 1146198,2026-02-28|DAL|1641890.0|Signing|Dallas Mavericks signed forward Tyler Smith to a Two-Way Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-02-28,Signed John Poulakidas (NBA.com roster signing date),DAL,1642967.0,john-poulakidas,NBA roster signing 1642967,2026-02-28|DAL|1642967.0|Signing|Signed John Poulakidas (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612742
Signing,2026-02-28,Signed John Poulakidas (NBA.com roster signing date),DAL,1642967,john-poulakidas,NBA roster signing 1642967,2026-02-28|DAL|1642967|Signing|Signed John Poulakidas (NBA.com roster signing date),NBA.com team roster,https://www.nba.com/team/1610612742
Signing,2026-02-28,Golden State Warriors re-signed forward Gui Santos to a Veteran Extension.,GSW,1630611.0,gui-santos,Signing 1146161,2026-02-28|GSW|1630611.0|Signing|Golden State Warriors re-signed forward Gui Santos to a Veteran Extension.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-02-28,Indiana Pacers re-signed guard Quenton Jackson to a Rest-of-Season Contract.,IND,1631245.0,quenton-jackson,Signing 1146164,2026-02-28|IND|1631245.0|Signing|Indiana Pacers re-signed guard Quenton Jackson to a Rest-of-Season Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-02-28,Indiana Pacers signed forward Jalen Slawson to a Two-Way Contract.,IND,1641771.0,jalen-slawson,Signing 1146165,2026-02-28|IND|1641771.0|Signing|Indiana Pacers signed forward Jalen Slawson to a Two-Way Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Waive,2026-02-28,Minnesota Timberwolves waived guard Jules Bernard.,MIN,1631262.0,jules-bernard,Waive 1146172,2026-02-28|MIN|1631262.0|Waive|Minnesota Timberwolves waived guard Jules Bernard.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
Signing,2026-02-28,Washington Wizards signed forward Julian Reese to a Two-Way Contract.,WAS,1642882.0,julian-reese,Signing 1146163,2026-02-28|WAS|1642882.0|Signing|Washington Wizards signed forward Julian Reese to a Two-Way Contract.,NBA player movement feed,https://stats.nba.com/js/data/playermovement/NBA_Player_Movement.json
